,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
6723,??????? ,V6,Gaza,97-97,CIIP_III 2594; ,,??????? ,307
6725,??????? ,V6,Zorava,imperial,IGLS_XV_1 202; ,,??????? ,377
6726,?????? ,V6,Bostra,imperial,"IGLS_XIII_1 9261, 1; ",child of ???????,?????? ,315
6727,??????? ,V6,Bostra,imperial,"IGLS_XIII_1 9405, 3; ",other relative of ????,??????? ,26
6728,????????? ,V6,Doura-Europos,P1A,"SEG VII 336, 2",,????????? ,986
6729,?????????? ,V6,Doura-Europos,61-62,"SEG II 791, 2; &SEG VII 800",child of ???????,?????????? ,1286
6730,????? ,V6,Kanatha,500-700,IGLS_XIII_2 9861; ,,????? ,114
6731,???????? ,V6,Jerusalem,70-70,m_Sheqalim v 1,,???????? ,337
6732,??????? ,V6,Golan-Sa?am al-Jawl?n,imperial,IGLS_XIV_1 323,,??????? ,77
6733,???????? ,V6,Palmyra-Tadmur,217-217,PAT 1445; ,,???????? ,346
6734,??????? ,V6,Balmarcodes-,imperial,CIL III 6674,,??????? ,336
6735,??????? ,V6,Choziba,P6-7A,RQ 39 (1931) p. 319 no. 26,,??????? ,154
6736,??????? ,V6,Doura-Europos,205-205,PDura 100 xxxiii 9; PDura 101 xxxiii 25,child of ?????,??????? ,966
6738,?????? ,V6,Adraa,imperial,IGLS_XIII_2 9947; ,,?????? ,376
6740,??????? ,V6,Amathe/Epiphaneia,byzantine,IGLS_IV 1878,,??????? ,260
6742,???????? ,V6,Doura-Europos,P2-3A,"TEAD 6 p. 37 no. 617, 4",child of ???????????,???????? ,293
6743,???????? ,V6,Amathe/Epiphaneia,byzantine,IGLS_IV 1881bis,,???????? ,264
6744,????????? ???? ,test,Palmyra-Tadmur,-50--25,IGLS_XVII.1 406; Notables p. 278,,????????? ???? ,725
6745,????????? ,test,Palmyra-Tadmur,imperial,IGLS_XVII.1 474; ,,????????? ,521
6746,????????? ,V6,Sachama,imperial,"IGLS_V 2570, 2",child of ???????,????????? ,583
6747,?????? ,V6,Doura-Europos,194-194,TEAD 6 p. 170 no. 686,,?????? ,213
6748,???????? ,V6,Emesa,imperial,IGLS_V 2325,child of ????????,???????? ,271
6749,?????? ,V6,Doura-Europos,217-217,PDura 98 v 30,=? ??????,?????? ,220
6754,?????????? ,V6,Doura-Europos,201-201,PDura 100 xli 34; PDura 101 xli 22,,?????????? ,1124
6755,?????? ,V6,Al Gh?riyah,314-315,SEG VII 1211; ,,?????? ,282
6757,?????? ,V6,Tyre,byzantine,"ITyr_I 71 a, 1; ",,?????? ,862
6758,???????? ,V6,Habiba,imperial,IGLS_XV_1 86; ,,???????? ,493
6759,???????? ,V6,?ab?a,100-600,IGLS_XXI_5 649; ,child of ??????,???????? ,431
6760,????? ,V6,Kaisareia,100-500,CIIP_II 1481; ,,????? ,216
6761,????????? ,V6,Hira,P3A,IGLS_XXI_5 499; ,,????????? ,338
6762,??????? ,V6,Ioudaia-Palaistine,P5-6A,SEG LVII 1859,,??????? ,259
6763,??????? ,V6,Nessana--,605-605,"PNess 46, 10",child of ????????,??????? ,328
6765,?????? ,V6,Kanatha,imperial,IGLS_XIII_2 9811; ,,?????? ,288
6766,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 259; &SEG LIX 1721,child of ????????,??????? ,66
6767,????? ,V6,?alkhad,imperial,Melanges_Dussaud p. 563 no. 261; ,,????? ,278
6774,???????? ,V6,Umm as Surab,100-600,IGLS_XXI_5 66; ,,???????? ,496
6777,??????? ,V6,?ab?a,100-600,IGLS_XXI_5 651; ,child of ????????,??????? ,748
6786,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 345; ,child of ????????,??????? ,126
6788,??????? ,V6,Salmanestha,321-321,Heber_Percy_Bashan pp. 145-6; ,child of ????????,??????? ,1059
6789,??????????? ,V6,"Palmyra-Tadmur,Doura-Europos",P3A,SEG VII 339; &Dura_Reports 2 pp. 145-6,,??????????? ,340
6790,???? ,V6,Doura-Europos,251-251,"PDura 29, 4, 14-15, 20",child of ??????????,???? ,15
6794,?????? ,V6,Sidon,P2_3A,"AEp 1974, no. 450, 2",,????? ,63
6796,??????? ,V6,Apheka-,200-699,"(Gregg-Urman_Golan 38, 2); ; SEG XLVI 1944.18",,?????? ,325
6834,??????? ???????? ,V6,Legio-Maximianopolis,P3A,SEG LVI 1899; SEG LXI 1441,,?????? ???????? ,1785
6837,???? ,V6,Aerita,imperial,IGLS_XV_2 370; ,child of ????????,???? ,22
6838,????? ,V6,Androna-Andarna,byzantine,IGLS_IV 1712,child of ????,???? ,274
6876,????? ????????? ,V6,Doura-Europos,195-195,PDura 101 xlv 4,,???? ????????? ,657
6880,???????? ,V6,Kanatha,imperial,AAES_III 414; ,,???????? ,422
6881,???? ,V6,Gaulanitis--,200-699,(Gregg-Urman_Golan 106); ; SEG XLVI 1964.1,child of ????????,??? ,204
6884,????? ,V6,Jerusalem,-100-100,CIIP_I.1 498; ,,????? ,864
6885,??????? ,V6,Sachama,309-310,"IGLS_V 2586, 1",,?????? ,1055
6886,??????? ,V6,Zoara,444-444,IPalTertia_Ia 177; ,,??????? ,505
6887,??????? ,V6,"Seleukeia,",-199--1,Ag. XVII 660; FRA 6609,child of ?????????,??????? ,543
6888,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 260; ,child of ???????,???????? ,316
6889,?????? ,V6,"Kyrrhos--,Laertes",138-138,AJA 95 (1991) p. 470,,?????? ,237
6891,?????? ??????? ,V6,Barad,imperial,AAES_III_A 56,child of ????????,?????? ??????? ,599
6892,???????? ,V6,Berytos,P3A,"AEp 1958, no. 164, 3; (Hajjar 203)",,???????? ,419
6893,??????? ,V6,Umm as Surab,100-600,IGLS_XXI_5 67; ,child of ????????,??????? ,509
6900,???????? ,V6,"Sidon,",-125--100,EAD XXX 314; ,child of ???????,???????? ,747
6901,?????? ,V6,Jerusalem,-100-100,CIIP_I.1 527; ,,?????? ,100
6902,??????? ,test,Palmyra-Tadmur,174-174,IGLS_XVII.1 197; ,,??????? ,362
6903,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 261; ,child of ????,??????? ,514
